,pmid,title,authorString,journalTitle,citedByCount,pubYear,firstAuthor
0,26000488,Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets.,"Macosko EZ, Basu A, Satija R, Nemesh J, Shekhar K, Goldman M, Tirosh I, Bialas AR, Kamitaki N, Martersteck EM, Trombetta JJ, Weitz DA, Sanes JR, Shalek AK, Regev A, McCarroll SA.",Cell,1130,2015,Macosko EZ
1,24925914,Single-cell RNA-seq highlights intratumoral heterogeneity in primary glioblastoma.,"Patel AP, Tirosh I, Trombetta JJ, Shalek AK, Gillespie SM, Wakimoto H, Cahill DP, Nahed BV, Curry WT, Martuza RL, Louis DN, Rozenblatt-Rosen O, Suvà ML, Regev A, Bernstein BE.",Science,965,2014,Patel AP
2,25700174,Brain structure. Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq.,"Zeisel A, Muñoz-Manchado AB, Codeluppi S, Lönnerberg P, La Manno G, Juréus A, Marques S, Munguba H, He L, Betsholtz C, Rolny C, Castelo-Branco G, Hjerling-Leffler J, Linnarsson S.",Science,739,2015,Zeisel A
3,26000487,Droplet barcoding for single-cell transcriptomics applied to embryonic stem cells.,"Klein AM, Mazutis L, Akartuna I, Tallapragada N, Veres A, Li V, Peshkin L, Weitz DA, Kirschner MW.",Cell,608,2015,Klein AM
4,24658644,The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells.,"Trapnell C, Cacchiarelli D, Grimsby J, Pokharel P, Li S, Morse M, Lennon NJ, Livak KJ, Mikkelsen TS, Rinn JL.",Nat Biotechnol,589,2014,Trapnell C
5,24385147,Full-length RNA-seq from single cells using Smart-seq2.,"Picelli S, Faridani OR, Björklund AK, Winberg G, Sagasser S, Sandberg R.",Nat Protoc,539,2014,Picelli S
6,25480296,Tissue-resident macrophage enhancer landscapes are shaped by the local microenvironment.,"Lavin Y, Winter D, Blecher-Gonen R, David E, Keren-Shaul H, Merad M, Jung S, Amit I.",Cell,541,2014,Lavin Y
7,24531970,Massively parallel single-cell RNA-seq for marker-free decomposition of tissues into cell types.,"Jaitin DA, Kenigsberg E, Keren-Shaul H, Elefant N, Paul F, Zaretsky I, Mildner A, Cohen N, Jung S, Tanay A, Amit I.",Science,499,2014,Jaitin DA
8,22820318,Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells.,"Ramsköld D, Luo S, Wang YC, Li R, Deng Q, Faridani OR, Daniels GA, Khrebtukova I, Loring JF, Laurent LC, Schroth GP, Sandberg R.",Nat Biotechnol,491,2012,Ramsköld D
9,27124452,Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq.,"Tirosh I, Izar B, Prakadan SM, Wadsworth MH, Treacy D, Trombetta JJ, Rotem A, Rodman C, Lian C, Murphy G, Fallahi-Sichani M, Dutton-Regester K, Lin JR, Cohen O, Shah P, Lu D, Genshaft AS, Hughes TK, Ziegler CG, Kazer SW, Gaillard A, Kolb KE, Villani AC, Johannessen CM, Andreev AY, Van Allen EM, Bertagnolli M, Sorger PK, Sullivan RJ, Flaherty KT, Frederick DT, Jané-Valbuena J, Yoon CH, Rozenblatt-Rosen O, Shalek AK, Regev A, Garraway LA.",Science,465,2016,Tirosh I
10,23685454,Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells.,"Shalek AK, Satija R, Adiconis X, Gertner RS, Gaublomme JT, Raychowdhury R, Schwartz S, Yosef N, Malboeuf C, Lu D, Trombetta JJ, Gennert D, Gnirke A, Goren A, Hacohen N, Levin JZ, Park H, Regev A.",Nature,475,2013,Shalek AK
11,24739965,Reconstructing lineage hierarchies of the distal lung epithelium using single-cell RNA-seq.,"Treutlein B, Brownfield DG, Wu AR, Neff NF, Mantalas GL, Espinoza FH, Desai TJ, Krasnow MA, Quake SR.",Nature,473,2014,Treutlein B
12,23934149,Single-cell RNA-Seq profiling of human preimplantation embryos and embryonic stem cells.,"Yan L, Yang M, Guo H, Yang L, Wu J, Li R, Liu P, Lian Y, Zheng X, Yan J, Huang J, Li M, Wu X, Wen L, Lao K, Li R, Qiao J, Tang F.",Nat Struct Mol Biol,447,2013,Yan L
13,25867923,Spatial reconstruction of single-cell gene expression data.,"Satija R, Farrell JA, Gennert D, Schier AF, Regev A.",Nat Biotechnol,436,2015,Satija R
14,25420068,Unbiased classification of sensory neuron types by large-scale single-cell RNA sequencing.,"Usoskin D, Furlan A, Islam S, Abdo H, Lönnerberg P, Lou D, Hjerling-Leffler J, Haeggström J, Kharchenko O, Kharchenko PV, Linnarsson S, Ernfors P.",Nat Neurosci,417,2015,Usoskin D
15,26813401,A survey of best practices for RNA-seq data analysis.,"Conesa A, Madrigal P, Tarazona S, Gomez-Cabrero D, Cervera A, McPherson A, Szcześniak MW, Gaffney DJ, Elo LL, Zhang X, Mortazavi A.",Genome Biol,396,2016,Conesa A
16,28091601,Massively parallel digital transcriptional profiling of single cells.,"Zheng GX, Terry JM, Belgrader P, Ryvkin P, Bent ZW, Wilson R, Ziraldo SB, Wheeler TD, McDermott GP, Zhu J, Gregory MT, Shuga J, Montesclaros L, Underwood JG, Masquelier DA, Nishimura SY, Schnall-Levin M, Wyatt PW, Hindson CM, Bharadwaj R, Wong A, Ness KD, Beppu LW, Deeg HJ, McFarland C, Loeb KR, Valente WJ, Ericson NG, Stevens EA, Radich JP, Mikkelsen TS, Hindson BJ, Bielas JH.",Nat Commun,379,2017,Zheng GX
17,24439369,"Reversing DNA methylation: mechanisms, genomics, and biological functions.","Wu H, Zhang Y.",Cell,378,2014,Wu H
18,22939981,CEL-Seq: single-cell RNA-Seq by multiplexed linear amplification.,"Hashimshony T, Wagner F, Sher N, Yanai I.",Cell Rep,371,2012,Hashimshony T
